1 1:-0.1459868355604976 2:-0.07585663523011524 3:-0.15043314431507077 4:0.16548927184470802 5:-0.017325047533801128
1 1:-0.1428396373082511 2:-0.2108950703787721 3:0.01367413572382647 4:0.10420847136857449 5:0.003374073450221891
1 1:-0.1549210607106657 2:-0.17598277747364513 3:-0.024284196876396394 4:0.10578222864212256 5:0.012713976125719922
1 1:-0.10001593632647929 2:-0.17776709145550643 3:-0.13414541138030733 4:0.09197658546925326 5:0.01487662668493102
1 1:-0.14777131355043485 2:-0.031774226532292955 3:-0.20568421029833855 4:0.15915619359364505 5:0.013860756453482464
1 1:-0.17830044063908274 2:-0.15146538027688788 3:-0.00994577211921139 4:0.1176815855059219 5:0.01741657412921976
1 1:-0.1757502729498362 2:-0.2794334575696328 3:0.13559477788556515 4:0.046047441819253354 5:0.047517864685940256
1 1:-0.10906344044989388 2:-0.27367300588119886 3:0.0353581132384217 4:0.020846800519931753 5:0.04099557779071217
1 1:-0.17682520959332376 2:-0.14803346995013222 3:-0.024477652386846026 4:0.1010259116735693 5:0.00941178237961478
1 1:-0.10773934772990186 2:-0.053013605643391325 3:-0.2737754722849349 4:0.11787695341383261 5:0.011803678290637096
1 1:-0.162431183823115 2:-0.16230348978482226 3:-0.033995510862229364 4:0.08477681136289499 5:0.006269716546479372
1 1:-0.1038661447714902 2:-0.0956292398237581 3:-0.2072860327592007 4:0.08212048369479774 5:0.005345755619032374
1 1:-0.18534881124398372 2:-0.1254675253527829 3:0.0005357636275615807 4:0.08777817781586664 5:0.02073821516193093
1 1:-0.1747387550227282 2:-0.16987497388127554 3:0.020690374305454166 4:0.06234632379309202 5:0.00407667664271027
1 1:-0.13244672021459736 2:-0.10761356619684091 3:-0.13147427959880317 4:0.08443138115332711 5:-0.00565788611894401
1 1:-0.10641217356928005 2:-0.2804484180609882 3:0.07319810684706109 4:-0.021788318946419184 5:0.02752257047118777
1 1:-0.14061223040951998 2:-0.3020589286780093 3:0.143647466293866 4:-0.030014700355572764 5:0.02455753843528729
1 1:-0.1688196580007952 2:-0.22926412502615073 3:0.0987620841246227 4:0.01741951123971724 5:0.004486595842834434
1 1:-0.14538939638748014 2:-0.21721446278834267 3:0.02659985120267403 4:0.04003787241084204 5:-0.018171327669451787
1 1:-0.14019808446358042 2:-0.249538981145996 3:0.09490086008824405 4:0.006186469426780805 5:0.0027060046665918144
1 1:-0.09773802905589744 2:-0.2517626507001883 3:0.020270315480441115 4:0.01764138805983074 5:-0.024188277326695394
1 1:-0.11357377434784802 2:-0.10516405841387563 3:-0.14288091172524622 4:0.12974307309895175 5:-0.03813883139904917
1 1:-0.15780872356506995 2:-0.0584600732111492 3:-0.06792821159229599 4:0.18184658893722697 5:-0.029049923102977035
1 1:-0.21349144129336967 2:-0.1469223122715647 3:0.1668623283211058 4:0.15179983962496554 5:0.026330767102707105
1 1:-0.1765923363570067 2:-0.07028632250024808 3:-0.01303904555423712 4:0.19298770708231217 5:-0.026805281955688445
1 1:-0.08852262784457121 2:-0.2898977863532364 3:0.09388026907787919 4:-0.004867955926690788 5:0.005523695971962308
1 1:-0.09743738097800005 2:-0.20058188586710252 3:-0.031172048591328928 4:0.04256233797403887 5:-0.012706641069850947
1 1:-0.09925282436010431 2:-0.15545360386808577 3:-0.07156043208105758 4:0.06838416085035554 5:-0.004484225319059343
1 1:-0.053333002056903514 2:-0.14743408707373407 3:-0.18505157510980763 4:0.05629772696802526 5:0.00031625856494344254
1 1:-0.11333834897687156 2:-0.19686663251173425 3:0.0015362255141268938 4:0.008321660688798506 5:0.004120286987090564
1 1:-0.06205305951620979 2:-0.3056673989508266 3:0.09605654878799012 4:-0.08478395552148824 5:0.061075847372810674
1 1:-0.11277111218257248 2:-0.23898670320533083 3:0.05384731066389318 4:-0.03846510986486784 5:0.025597282967926804
1 1:-0.09368629262574346 2:-0.09057006290715224 3:-0.16845310823557375 4:0.03791175835518976 5:0.007458267823526198
1 1:-0.1063710514259947 2:-0.300733945182902 3:0.16188605864234865 4:-0.08105668832221395 5:0.06717699899303341
