1 1:-0.2316807131314244 2:-0.23415997201785133 3:0.15827950187292414 4:0.17205308064264974 5:0.030049048278380425 6:0.14621418995683416 7:-0.006850209084765902 8:0.05917083060309442 9:0.060879342076912236 10:-0.043746589813434766
1 1:-0.20718811428473902 2:-0.10151516199991886 3:-0.058809242334293965 4:0.22460336478639872 5:0.0020772696600514194 6:0.07361252405276934 7:-0.02284500116661229 8:0.0351831181444823 9:0.06179261284675164 10:-0.008744465029210332
1 1:-0.23877403498869096 2:-0.09682736566261446 3:0.014699880200478172 4:0.22851791011924139 5:0.014657454006022627 6:0.006684206123945579 7:-0.008684766404533003 8:0.05065353117541696 9:0.03923998023464692 10:-0.028497731831677094
1 1:-0.15896745359977055 2:-0.06340641294247908 3:-0.21033576768063778 4:0.2174034474480978 5:0.013968289350679668 6:0.17911584643622586 7:-0.022878096991754495 8:0.06239349235534619 9:0.05019608253391548 10:0.027860487922061243
1 1:-0.2772409926437649 2:-0.2017538634891843 3:0.21411067368007183 4:0.1677907616681024 5:0.06559482058152952 6:0.02653009382288739 7:-0.004879287044281 8:0.11603142145049014 9:-0.0030671535965786124 10:0.029785114248364768
1 1:-0.18979111112156546 2:-0.10246386761196924 3:-0.10874906655340286 4:0.2155983349952712 5:-0.010127224346591305 6:0.1305586984460496 7:-0.01895478548949813 8:0.039239070801041644 9:0.05842598323860979 10:-0.02104798856607415
1 1:-0.25475845151008064 2:-0.14537463420148927 3:0.10791092985719963 4:0.19491431850593302 5:0.030816904973356055 6:0.0081415516050425 7:-0.00746256287647401 8:0.06955282117692503 9:0.028696850511639005 10:-0.020656073393010004
1 1:-0.23538191430838618 2:-0.08295596804241401 3:-0.012632531650411324 4:0.2296588079531184 5:-0.0028753174823329813 6:-0.010460349085515982 7:-0.014598748837923104 8:0.03773178684236308 9:0.057476619649164964 10:-0.04620875869932994
1 1:-0.21081421912426873 2:-0.31915099863134555 3:0.235323851963248 4:0.08550505329948019 5:0.061578019317631925 6:0.11675197227647104 7:-0.06145294218968618 8:0.019230943780039412 9:0.11681716060242271 10:-0.012123942458055233
1 1:-0.21905375585688813 2:-0.10580775430645684 3:-0.02658095189764067 4:0.1956212041578036 5:0.0031516326952686757 6:0.0011939546415816373 7:-0.029385859073441316 8:0.02468436682967031 9:0.05364336088703153 10:-0.013451092416725938
1 1:-0.2585710896900858 2:-0.03526482867101059 3:-0.0049282076648449295 4:0.229987313957493 5:0.011479233932170273 6:-0.10925203396750055 7:-0.019031536071111913 8:0.057245853394278214 9:0.030051338391474502 10:-0.0052132481666695525
1 1:-0.23190233276720787 2:-0.20087348013473522 3:0.1007948736510265 4:0.15596709922473617 5:0.006227225718085316 6:0.0677048797775184 7:-0.02072266208976628 8:0.043343189190644636 9:0.057943772145429034 10:-0.035258527751410085
1 1:-0.21106839409901187 2:-0.13880076208899292 3:0.0032535388524703307 4:0.17986473097891634 5:-0.012091772713399592 6:0.03536902517016395 7:-0.025726443361011268 8:0.009758379998649614 9:0.06023076062891765 10:-0.06651440961642018
1 1:-0.20786507360688058 2:-0.021183882160580737 3:-0.15986504580017818 4:0.19432731798711717 5:-0.021778712998690948 6:-0.07333949041848868 7:-0.029556674696413945 8:0.019822932636281668 9:-0.02154771815721745 10:0.015245028906152983
1 1:-0.1666984423010997 2:-0.183805621395878 3:-0.048499895768171666 4:0.10528211881403385 5:-0.008314422063001833 6:0.06994500316501968 7:-0.053721808723916256 8:-0.012734717017674377 9:0.03247265003737733 10:-0.006780484197175583
1 1:-0.11749683341684158 2:-0.2693298844775842 3:0.0013090992359872967 4:0.04565948802277689 5:0.003053371880170016 6:0.09641421520906748 7:-0.11368488112730273 8:-0.07253085218870942 9:0.11598524613900484 10:-0.011495750108711776
1 1:-0.18758721186420146 2:-0.17822499384287557 3:0.016487912387196213 4:0.11192488290172345 5:-0.008076833580062712 6:0.01883776575195281 7:-0.0569096164228264 8:0.008690216359186653 9:0.0317934701866745 10:-0.005185612523806198
1 1:-0.18574517616695868 2:-0.08597098416972743 3:-0.12354499348523168 4:0.15834196424455269 5:-0.03949182687676177 6:-0.02487693118870215 7:-0.03132744900273212 8:0.015082585789881446 9:-0.026946384707124987 10:-0.0078815813239868
1 1:-0.18731592293368032 2:-0.15282920780075676 3:-0.0398113724064265 4:0.13804371257524004 5:-0.038934053920826245 6:0.0008845200092281894 7:-0.03604390294278611 8:0.013005977288989157 9:-0.019595982535407345 10:-0.02631352443361527
1 1:-0.19923334103861193 2:-0.22588908382299158 3:0.07644402239328281 4:0.10012714735281072 5:-0.008654270805341407 6:0.01495616947164464 7:-0.04483021977912726 8:0.030172539267628886 9:-0.026860728057358625 10:0.0015879310374901853
1 1:-0.17166083143410982 2:-0.20553498721590985 3:-0.022923635682449973 4:0.11078315565528588 5:-0.03896370507926907 6:0.04190500495579445 7:-0.042639069669420604 8:-0.00047757087820885294 9:-0.01589838359104291 10:-0.015903430656571266
1 1:-0.16678066878640718 2:-0.30616200345668826 3:0.14813612840067222 4:0.04285039114784856 5:0.01865120472787654 6:0.03015737287910835 7:-0.08795644981760649 8:-0.01319871467005683 9:0.037449225930657096 10:0.019757238419306225
1 1:-0.18026384908756163 2:-0.03846841009534872 3:-0.17307302604270813 4:0.18067639274288896 5:-0.03739879084469812 6:-0.08418589892812281 7:-0.03341320783459566 8:0.013580749075028656 9:-0.04537506200560731 10:0.027555812691692234
1 1:-0.1883105378693597 2:-0.1668918251157849 3:-0.011992736167767717 4:0.11385668504631646 5:-0.032865147176946705 6:-0.05159920763880079 7:-0.03597465679308377 8:-0.002946816521872557 9:-0.039054735335557936 10:-0.0022929133324778844
1 1:-0.15888325866266703 2:-0.14096713891420293 3:-0.07458700743305441 4:0.13172345689526155 5:-0.03815511976033384 6:0.023930824705815205 7:-0.023379424488810068 8:0.01013990709320851 9:0.004346849201742664 10:-0.010308478393280408
1 1:-0.1510562605820986 2:-0.31456789503433324 3:0.1622371526472516 4:0.03746069736270315 5:0.006985933483884171 6:0.05833320447630611 7:-0.07840751441694743 8:-0.015987596075691193 9:0.07823505643902333 10:0.027161106806815702
1 1:-0.16985332526557478 2:-0.14720336136066245 3:-0.016306188369635523 4:0.12479995708178726 5:-0.03554274042941049 6:-0.05138147832840274 7:-0.04472138336662172 8:-0.007446787825510637 9:0.0028198051823369245 10:0.0012329960334232157
1 1:-0.1477959600319392 2:-0.11163715578312444 3:-0.12289586415415436 4:0.15770273966041323 5:-0.05731368781103609 6:-0.013381766015627516 7:-0.026940959942357935 8:-0.0016862795924152312 9:-0.023467433138887855 10:-0.0069801389508274934
1 1:-0.18007744052122904 2:-0.2691239222659602 3:0.16557072714530502 4:0.08297775095223045 5:0.011502194091860101 6:0.02234846643248469 7:-0.03953208048294948 8:0.042013227928468025 9:-0.015033270914561504 10:0.04075968078623063
1 1:-0.08496742476747254 2:-0.18989428749313952 3:-0.1395550347916957 4:0.11095436845975824 5:-0.029920970901335355 6:0.10822908877184571 7:-0.049247394597630556 8:-0.04159989665767815 9:0.02009215603912158 10:-0.0039941028293357834
1 1:-0.18487727740426774 2:-0.1469335798182458 3:0.02322064946203998 4:0.16524410874392842 5:-0.02149117112082083 6:-0.0691491976978188 7:-0.019866866594934886 8:0.015249599269867995 9:-0.04604909163005361 10:0.017523050773216545
1 1:-0.13681987747042473 2:-0.13002509591481962 3:-0.10997738517975816 4:0.1536491641731322 5:-0.029993569042481717 6:0.0037461543854522272 7:-0.017263113923701254 8:-0.036008442249708804 9:-0.026540619044075633 10:0.03030677623074341
1 1:-0.19662559244058667 2:-0.2259502945725403 3:0.12477230596868 4:0.10496810172474161 5:0.011151858273610865 6:-0.01813031673922233 7:0.009020744980142627 8:0.017866624736622358 9:-0.09163695714090307 10:0.02766668365078608
1 1:-0.14598683556049835 2:-0.07585663523011558 3:-0.150433144317699 4:0.16548927183589604 5:-0.01732504758493267 6:-0.024989599404043307 7:-0.00600540671221423 8:-0.019489397965863423 9:-0.038115581711075215 10:0.0345269369075823
